Tickers;Segmentos
DTEN6;BOLSA
DXCO3;NOVO MERCADO
DXXI3;BOLSA
E3XT3;BOLSA
EALT3;BOLSA
EALT4;BOLSA
EBTL3;BOLSA
ECOR3;NOVO MERCADO
EESG3;BOLSA
EGCE3;BOLSA
EGGY3;BOLSA
EGIE3;NOVO MERCADO
EKTR3;BOLSA
EKTR4;BOLSA
ELBR4;BOLSA
ELET3;NIVEL 1
ELET5;NIVEL 1
ELET6;NIVEL 1
ELMD3;NOVO MERCADO
EMAE3;BOLSA
EMAE4;BOLSA
EMBP3;BOLSA
EMBP4;BOLSA
EMBR3;NOVO MERCADO
ENAC3;BOLSA
ENEV3;NOVO MERCADO
ENGI3;NIVEL 2
ENGI4;NIVEL 2
ENJU3;NOVO MERCADO
ENMT3;BOLSA
ENMT4;BOLSA
EPAR3;BOLSA
EPTR4;BOLSA
EQMA3B;MERCADO DE BALCÃO
EQMA5B;MERCADO DE BALCÃO
EQMA6B;MERCADO DE BALCÃO
EQPA3;BOLSA
EQPA5;BOLSA
EQPA6;BOLSA
EQPA7;BOLSA
EQTL3;NOVO MERCADO
ESGS3;BOLSA
ESGS4;BOLSA
ESPA3;NOVO MERCADO
ESSD3;BOLSA
ESSE5;BOLSA
ESTR3;BOLSA
ESTR4;BOLSA
ETER3;NOVO MERCADO
ETGO3;BOLSA
ETGO4;BOLSA
EUCA3;NIVEL 1
EUCA4;NIVEL 1
EUFA3;M2
EVEN3;NOVO MERCADO
EZTC3;NOVO MERCADO
FAEL6;BOLSA
FAEL7;BOLSA
FESA3;NIVEL 1
FESA4;NIVEL 1
FGRT5;MERCADO DE BALCÃO
FHER3;NOVO MERCADO
FICT3;BOLSA
FIEI3;BOLSA
FIGE3;BOLSA
FIGE4;BOLSA
FIQE3;NOVO MERCADO
FLRY3;NOVO MERCADO
FNUV3;BOLSA
FRAS3;NIVEL 1
FRIO3;NOVO MERCADO
FRNV3;BOLSA
FRRN3B;MERCADO DE BALCÃO
FRRN5B;MERCADO DE BALCÃO
FRRN6B;MERCADO DE BALCÃO
FTRO3;BOLSA
GENT3;MERCADO DE BALCÃO
GEPA3;BOLSA
GEPA4;BOLSA
GFSA3;NOVO MERCADO
GGBR3;NIVEL 1
GGBR4;NIVEL 1
GGPS3;NOVO MERCADO
GMAT3;NOVO MERCADO
GOAU3;NIVEL 1
GOAU4;NIVEL 1
GOLL3;NIVEL 2
GOLL4;NIVEL 2
GPAR3;BOLSA
GPLA5;BOLSA
GRAO3;BOVESPA MAIS
GRND3;NOVO MERCADO
GSHP3;BOLSA
GUAR3;NOVO MERCADO
GUNI3;BOLSA
HAGA3;BOLSA
HAGA4;BOLSA
HAPV3;NOVO MERCADO
HBOR3;NOVO MERCADO
HBRE3;NOVO MERCADO
HBSA3;NOVO MERCADO
HBTS3;BOLSA
HBTS5;BOLSA
HBTS6;BOLSA
HCAR3;BOLSA
HEDA3;BOLSA
HETA3;BOLSA
HETA4;BOLSA
HLJP3;BOLSA
HMOB3;BOLSA
HOAM5;BOLSA
HOAM6;BOLSA
HOOT3;BOLSA
HOOT4;BOLSA
HYPE3;NOVO MERCADO
ICBR3;MERCADO DE BALCÃO
IFCM3;NOVO MERCADO
IGSN3;BOVESPA MAIS
IGTI3;NIVEL 1
IGTI4;NIVEL 1
INEP3;BOLSA
INEP4;BOLSA
INNC3;BOVESPA MAIS
INTB3;NOVO MERCADO
IPNN3;BOLSA
IRBR3;NOVO MERCADO
ISAE3;NIVEL 1
ISAE4;NIVEL 1
ITSA3;NIVEL 1
ITSA4;NIVEL 1
ITUB3;NIVEL 1
ITUB4;NIVEL 1
IVLG3B;BOLSA
IVPR3B;MERCADO DE BALCÃO
IVPR4B;MERCADO DE BALCÃO
JALL3;NOVO MERCADO
JBSS3;NOVO MERCADO
JCBA6;BOLSA
JFEN3;BOLSA
JHSF3;NOVO MERCADO
JOPA3;BOLSA
JOPA4;BOLSA
JSLG3;NOVO MERCADO
KALS5;BOLSA
KALU3;BOLSA
KEPL3;NOVO MERCADO
KLAS3;BOLSA
KLBN3;NIVEL 2
KLBN4;NIVEL 2
KRSA3;BOLSA
LAND3;NOVO MERCADO
LAVV3;NOVO MERCADO
LEVE3;NOVO MERCADO
LIGT3;NOVO MERCADO
LIPR3;BOLSA
LJQQ3;NOVO MERCADO
LLBI3;BOLSA
LMED3;BOVESPA MAIS
LOGG3;NOVO MERCADO
LOGN3;NOVO MERCADO
LOGS3;BOLSA
LOGS4;BOLSA
LPSB3;NOVO MERCADO
LREN3;NOVO MERCADO
LTEL3B;MERCADO DE BALCÃO
LTLA3B;MERCADO DE BALCÃO
LUPA3;NOVO MERCADO
LUXM3;BOLSA
LUXM4;BOLSA
LVTC3;NOVO MERCADO
LWSA3;NOVO MERCADO
MAPT3;BOLSA
MAPT4;BOLSA
MAQN3;BOLSA
MAQN4;BOLSA
MATD3;NOVO MERCADO
MBLY3;NOVO MERCADO
MCRJ11B;MERCADO DE BALCÃO
MDIA3;NOVO MERCADO
MDIN3;BOLSA
MDNE3;NOVO MERCADO
MDSI3;BOLSA
MEAL3;NOVO MERCADO
MELK3;NOVO MERCADO
MERC3;BOLSA
MERC4;BOLSA
MFII13;BOLSA
MGEL3;BOLSA
MGEL4;BOLSA
MGFB3;BOLSA
MGLU3;NOVO MERCADO
MILS3;NOVO MERCADO
MKSS3;BOLSA
