Tickers;Segmentos
TAXA93;BOLSA
TAXA93L;BOLSA
TAXA94;BOLSA
TAXA94L;BOLSA
TAXA95;BOLSA
TAXA95L;BOLSA
TAXA96;BOLSA
TAXA96L;BOLSA
TAXA97;BOLSA
TAXA97L;BOLSA
TAXA98;BOLSA
TAXA98L;BOLSA
TAXA99;BOLSA
TAXA99L;BOLSA
TCQC3;BOLSA
TCQC4;BOLSA
TCSA3;NOVO MERCADO
TECN3;NOVO MERCADO
TEGA3;BOLSA
TELB3;BOLSA
TELB4;BOLSA
TEND3;NOVO MERCADO
TFCO3;NIVEL 2
TFCO4;NIVEL 2
TGMA3;NOVO MERCADO
TIMS3;NOVO MERCADO
TKNO3;BOLSA
TKNO4;BOLSA
TOGA11;BOLSA
TOTS3;NOVO MERCADO
TPIS3;NOVO MERCADO
TRAD3;NOVO MERCADO
TRBR3;BOLSA
TRBR4;BOLSA
TREG3;BOLSA
TRIS3;NOVO MERCADO
TTEN3;NOVO MERCADO
TUPY3;NOVO MERCADO
TVIT3;BOLSA
TXBZ11;MERCADO DE BALCÃO
TXBZ5;MERCADO DE BALCÃO
TXRX11;BOLSA
TXRX3;BOLSA
TXRX4;BOLSA
UCAS3;NOVO MERCADO
UGPA3;NOVO MERCADO
UNIP3;BOLSA
UNIP5;BOLSA
UNIP6;BOLSA
UPKP3;BOLSA
USAT4;BOLSA
USIM3;NIVEL 1
USIM5;NIVEL 1
USIM6;NIVEL 1
VALE3;NOVO MERCADO
VAMO3;NOVO MERCADO
VBBR3;NOVO MERCADO
VDMG3;BOLSA
VECF3;BOLSA
VITT3;NOVO MERCADO
VIVA3;NOVO MERCADO
VIVR3;NOVO MERCADO
VIVT3;BOLSA
VLID3;NOVO MERCADO
VLPN3;BOLSA
VSPT3;BOLSA
VSPT4;BOLSA
VSTE3;NOVO MERCADO
VTRU3;NOVO MERCADO
VULC3;NOVO MERCADO
VVEO3;NOVO MERCADO
WEGE3;NOVO MERCADO
WEST3;NOVO MERCADO
WHRL3;BOLSA
WHRL4;BOLSA
WIRE3;BOLSA
WIZC3;NOVO MERCADO
WLMM3;BOLSA
WLMM4;BOLSA
WNBR3;MERCADO DE BALCÃO
YDUQ3;NOVO MERCADO
YOUC3;BOLSA
ZAMP3;BOLSA
